Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,,,,,,,,,,,,,,,,,Matches
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,,,,,,,,,,,,,,,,,Matches
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,,,,,,,,,,,,,,,,,Matches
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,,,,,,,,,,,,,,,,,Matches
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,,,,,,,,,,,,,,,,,Matches
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,,,,,,,,,,,,,,,,,Matches
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,,24,,,,,,,,,,,13,,,,Matches
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,12,6,2,5,5,3,23,13.0,20,10,0,10,5,17,5,0,Matches
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,21,9,3,11,7,5,16,31.3,11,9,0,9,5,26,6,0,Matches
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,16,6,1,4,11,5,22,22.7,17,3,1,2,8,24,2,1,Matches
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,18,9,4,4,10,7,16,43.8,9,10,0,10,1,19,10,1,Matches
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,17,8,5,9,3,6,19,31.6,13,7,1,6,6,23,5,0,Matches
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,21,12,4,5,12,10,26,38.5,16,21,0,21,6,27,4,0,Matches
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,17,11,1,8,8,6,21,28.6,15,19,1,18,2,19,1,0,Matches
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,32.5,20,11,7,5,8,7,14,50.0,7,11,0,11,7,27,5,0,Matches
13 Seasons,13 Seasons,5 Clubs,,3 Leagues,,365.0,142,96,27,51,64,49,157,31.2,108,90,3,87,53,182,38,2,
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Liverpool (8 Seasons),Liverpool (8 Seasons),Liverpool (8 Seasons),,1 League,,262.4,142,72,27,51,64,49,157,31.2,108,90,3,87,40,182,38,2,
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,57.7,,24,,,,,,,,,,,13,0,,,
Basel (2 Seasons),Basel (2 Seasons),Basel (2 Seasons),,1 League,,28.8,,,,,,,,,,,,,,0,,,
Chelsea (2 Seasons),Chelsea (2 Seasons),Chelsea (2 Seasons),,1 League,,5.9,,,,,,,,,,,,,,0,,,
Fiorentina (1 Season),Fiorentina (1 Season),Fiorentina (1 Season),,1 League,,10.1,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (10 Seasons),Premier League (10 Seasons),Premier League (10 Seasons),,,,268.4,142,72,27,51,64,49,157,31.2,108,90,3,87,40,182,38,2,
Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,67.8,,24,,,,,,,,,,,13,0,,,
Super Lg (2 Seasons),Super Lg (2 Seasons),Super Lg (2 Seasons),,,,28.8,,,,,,,,,,,,,,0,,,
