Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Domestic Leagues,Domestic Leagues,Domestic Leagues,Domestic Leagues,Domestic Cups,Domestic Cups,Domestic Cups,Domestic Cups,International Cups,International Cups,International Cups,International Cups,All Competitions,All Competitions,All Competitions,All Competitions,Unnamed: 21_level_0
Season,Age,Squad,Country,Comp,MP,Min,Gls,Ast,MP,Min,Gls,Ast,MP,Min,Gls,Ast,MP,Min,Gls,Ast,Matches
2012-2013,20,Basel,ch SUI,1. Super Lg,29,1441,5,4,,,,,14.0,949.0,2.0,3.0,43,2390,7,7,Matches
2013-2014,21,Basel,ch SUI,1. Super Lg,18,1149,4,3,,,,,6.0,532.0,2.0,0.0,24,1681,6,3,Matches
2013-2014,21,Chelsea,eng ENG,1. Premier League,10,501,2,1,,,,,,,,,10,501,2,1,Matches
2014-2015,22,Chelsea,eng ENG,1. Premier League,3,33,0,0,3.0,225.0,0.0,2.0,2.0,76.0,0.0,0.0,8,334,0,2,Matches
2014-2015,22,Fiorentina,it ITA,1. Serie A,16,908,6,3,2.0,163.0,2.0,0.0,8.0,718.0,1.0,1.0,26,1789,9,4,Matches
2015-2016,23,Roma,it ITA,1. Serie A,34,2723,14,6,1.0,120.0,0.0,0.0,7.0,543.0,1.0,0.0,42,3386,15,6,Matches
2016-2017,24,Roma,it ITA,1. Serie A,31,2473,15,11,2.0,158.0,2.0,0.0,6.0,372.0,2.0,1.0,39,3003,19,12,Matches
2017-2018,25,Liverpool,eng ENG,1. Premier League,36,2907,32,10,1.0,90.0,1.0,0.0,13.0,930.0,10.0,4.0,50,3927,43,14,Matches
2018-2019,26,Liverpool,eng ENG,1. Premier League,38,3250,22,8,2.0,25.0,0.0,0.0,12.0,1056.0,5.0,2.0,52,4331,27,10,Matches
2019-2020,27,Liverpool,eng ENG,1. Premier League,34,2876,19,10,3.0,143.0,0.0,0.0,9.0,850.0,4.0,2.0,46,3869,23,12,Matches
2020-2021,28,Liverpool,eng ENG,1. Premier League,37,3078,22,5,4.0,343.0,3.0,0.0,10.0,778.0,6.0,1.0,51,4199,31,6,Matches
2021-2022,29,Liverpool,eng ENG,1. Premier League,35,2762,23,13,3.0,242.0,0.0,0.0,13.0,1004.0,8.0,2.0,51,4008,31,15,Matches
2022-2023,30,Liverpool,eng ENG,1. Premier League,38,3290,19,12,5.0,378.0,3.0,2.0,8.0,624.0,8.0,2.0,51,4292,30,16,Matches
2023-2024,31,Liverpool,eng ENG,1. Premier League,32,2534,18,10,3.0,197.0,2.0,0.0,9.0,400.0,5.0,4.0,44,3131,25,14,Matches
2024-2025,32,Liverpool,eng ENG,1. Premier League,33,2921,27,18,5.0,313.0,2.0,1.0,9.0,806.0,3.0,4.0,47,4040,32,23,Matches
13 Seasons*,13 Seasons*,5 Clubs,,,424,32846,228,114,34.0,2397.0,15.0,5.0,126.0,9638.0,57.0,26.0,584,44881,300,145,
