Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,5,,14,,,0.87,,,,,,,,,,,,Matches
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,4,,14,,,1.10,,0.29,,,0,0,,,,,,Matches
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,2,,6,,,1.08,,0.33,,,0,0,,,,,,Matches
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,0,,0,,,0.00,,,,,0,0,,,,,,Matches
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,6,,13,,,1.29,,0.46,,,0,0,,,,,,Matches
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,14,,32,,,1.06,,0.44,,,0,0,,,,,,Matches
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,15,80,34,42.5,2.91,1.24,0.19,0.44,,,0,0,,,,,,Matches
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,32,142,64,45.1,4.40,1.98,0.22,0.48,15.3,4,1,2,24.1,22.6,0.16,+7.9,+8.4,Matches
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,22,134,60,44.8,3.71,1.66,0.14,0.32,16.9,3,3,3,20.2,17.9,0.13,+1.8,+1.1,Matches
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,19,129,56,43.4,4.04,1.75,0.12,0.29,15.0,4,3,3,19.0,16.6,0.13,0.0,-0.6,Matches
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,22,120,46,38.3,3.51,1.35,0.13,0.35,16.4,1,6,6,19.3,14.6,0.12,+2.7,+1.4,Matches
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,23,133,49,36.8,4.33,1.60,0.14,0.37,15.8,1,5,6,22.7,17.8,0.13,+0.3,+0.2,Matches
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,19,121,45,37.2,3.31,1.23,0.14,0.38,15.1,2,2,4,21.6,18.5,0.15,-2.6,-1.5,Matches
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,18,107,47,43.9,3.80,1.67,0.12,0.28,15.5,1,5,7,21.2,15.5,0.15,-3.2,-2.5,Matches
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,32.5,27,107,46,43.0,3.30,1.42,0.17,0.39,14.7,1,9,9,23.7,16.7,0.16,+3.3,+1.3,Matches
13 Seasons,13 Seasons,5 Clubs,,3 Leagues,,365.0,228,1073,526,41.7,3.70,1.44,0.15,0.37,15.6,17,34,40,171.9,140.1,0.14,+10.1,+7.9,
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Liverpool (8 Seasons),Liverpool (8 Seasons),Liverpool (8 Seasons),,1 League,,262.4,182,993,413,41.6,3.78,1.57,0.15,0.36,15.6,17,34,40,171.9,140.1,0.14,+10.1,+7.9,
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,57.7,29,80,66,42.5,2.91,1.14,0.19,0.44,,,0,0,,,,,,
Basel (2 Seasons),Basel (2 Seasons),Basel (2 Seasons),,1 League,,28.8,9,,28,,,0.97,,0.29,,,0,0,,,,,,
Chelsea (2 Seasons),Chelsea (2 Seasons),Chelsea (2 Seasons),,1 League,,5.9,2,,6,,,1.01,,0.33,,,0,0,,,,,,
Fiorentina (1 Season),Fiorentina (1 Season),Fiorentina (1 Season),,1 League,,10.1,6,,13,,,1.29,,0.46,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (10 Seasons),Premier League (10 Seasons),Premier League (10 Seasons),,,,268.4,184,993,419,41.6,3.78,1.56,0.15,0.36,15.6,17,34,40,171.9,140.1,0.14,+10.1,+7.9,
Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,67.8,35,80,79,42.5,2.91,1.16,0.19,0.44,,,0,0,,,,,,
Super Lg (2 Seasons),Super Lg (2 Seasons),Super Lg (2 Seasons),,,,28.8,9,,28,,,0.97,,0.29,,,0,0,,,,,,
